block_num,validator_id,total_gas_fee,total_mev_available
0,validator_6,288947764,17879
1,validator_10,431538817,5652480
2,validator_18,344125120,123060
3,validator_7,537226171,42398
4,validator_16,268171018,36680
5,validator_10,281483632,68786
6,validator_18,160269581,270342
7,validator_8,196961093,77290
8,validator_4,279248332,2977
9,validator_3,1130470247,9159
10,validator_2,797888934,38379
11,validator_11,430266727,3285
12,validator_17,943963307,10469
13,validator_9,384715974,6634
14,validator_6,282245997,9799
15,validator_1,359033391,6707
16,validator_19,886828518,1805
17,validator_6,352125434,6151
18,validator_11,724313737,35780
19,validator_18,369206925,247458
20,validator_8,260719744,15010
21,validator_13,386786869,6707
22,validator_11,276629554,10191
23,validator_6,307254963,42741
24,validator_13,401419003,42216
25,validator_9,219984823,292547
26,validator_12,452255770,5719628
27,validator_2,250670693,2122
28,validator_9,464866035,13312
29,validator_11,654406394,20859
30,validator_16,376124398,365161
31,validator_4,791374145,73465
32,validator_2,404734558,7299
33,validator_9,325906819,20767
34,validator_14,251388086,6660
35,validator_6,340445306,16639
36,validator_15,910534220,9674
37,validator_12,503782679,32725
38,validator_4,273433973,139983
39,validator_18,350850466,8352
40,validator_3,252021422,52219
41,validator_11,322335479,5236
42,validator_15,551747382,67981
43,validator_2,343838053,66050
44,validator_4,626371436,4651
45,validator_4,338148407,34517
46,validator_14,276699675,5655516
47,validator_6,514138040,291521
48,validator_17,476216940,2883
49,validator_9,313064554,121953
50,validator_10,515220591,8641
51,validator_17,440391150,8579
52,validator_10,472506737,2907
53,validator_12,689888108,5084
54,validator_17,339588109,37081
55,validator_2,642707007,92031
56,validator_6,288947764,17879
57,validator_10,431538817,5652480
58,validator_18,344125120,123060
59,validator_7,537226171,42398
60,validator_16,268171018,36680
61,validator_10,281483632,68786
62,validator_18,160269581,270342
63,validator_8,196961093,77290
64,validator_4,279248332,2977
65,validator_3,1130470247,9159
66,validator_2,797888934,38379
67,validator_11,430266727,3285
68,validator_17,943963307,10469
69,validator_9,384715974,6634
70,validator_6,282245997,9799
71,validator_1,359033391,6707
72,validator_19,886828518,1805
73,validator_6,352125434,6151
74,validator_11,724313737,35780
75,validator_18,369206925,247458
76,validator_8,260719744,15010
77,validator_13,386786869,6707
78,validator_11,276629554,10191
79,validator_6,307254963,42741
80,validator_13,401419003,42216
81,validator_9,219984823,292547
82,validator_12,452255770,5719628
83,validator_2,250670693,2122
84,validator_6,288947764,17879
85,validator_10,431538817,5652480
86,validator_18,344125120,123060
87,validator_7,537226171,42398
88,validator_16,268171018,36680
89,validator_10,281483632,68786
90,validator_18,160269581,270342
91,validator_8,196961093,77290
92,validator_4,279248332,2977
93,validator_3,1130470247,9159
94,validator_2,797888934,38379
