block_id,total_gas,total_mev_captured,block_bid,validator_type
1,7790010.0,0.0,,normal
2,8563008.0,17700000.0,,normal
3,82410009.0,17700000.0,,normal
4,71900010.0,0.0,,normal
5,52250005.0,0.0,,normal
6,17100000.0,17700000.0,,normal
7,22100000.0,35400000.0,,normal
8,16118000.0,53100000.0,,attack
9,15749001.0,0.0,,normal
10,14295005.0,0.0,,normal
11,31916004.0,0.0,,normal
12,16016004.0,0.0,,normal
13,11295005.0,0.0,,normal
14,18074006.0,0.0,,normal
15,29758002.0,0.0,,normal
16,15196004.0,0.0,,normal
17,20728002.0,17700000.0,,normal
18,19457002.0,17700000.0,,normal
19,34625005.0,35400000.0,,normal
20,15117002.0,35400000.0,,normal
21,16115005.0,17700000.0,,normal
22,161700009.0,0.0,,normal
23,177000010.0,0.0,,normal
24,177000010.0,0.0,,normal
25,177000010.0,0.0,,normal
26,177000010.0,0.0,,normal
27,177000010.0,0.0,,normal
28,177000010.0,0.0,,normal
29,177000010.0,0.0,,normal
30,177000010.0,0.0,,normal
31,177000010.0,0.0,,normal
32,177000010.0,0.0,,normal
33,177000010.0,0.0,,normal
34,177000010.0,0.0,,normal
35,177000010.0,0.0,,normal
36,177000010.0,0.0,,normal
37,177000010.0,0.0,,normal
38,177000010.0,0.0,,normal
39,177000010.0,0.0,,normal
40,177000010.0,0.0,,normal
41,177000010.0,0.0,,normal
42,177000010.0,0.0,,normal
43,177000010.0,0.0,,normal
44,177000010.0,0.0,,normal
45,177000010.0,0.0,,normal
46,177000010.0,0.0,,normal
47,177000010.0,0.0,,normal
48,177000010.0,0.0,,normal
49,177000010.0,0.0,,normal
50,177000010.0,0.0,,normal
51,177000010.0,0.0,,normal
52,177000010.0,0.0,,normal
53,177000010.0,0.0,,normal
54,177000010.0,0.0,,normal
55,177000010.0,0.0,,normal
56,177000010.0,0.0,,normal
57,177000010.0,0.0,,normal
58,177000010.0,0.0,,normal
59,177000010.0,0.0,,normal
60,177000010.0,0.0,,normal
61,177000010.0,0.0,,normal
62,177000010.0,0.0,,normal
63,177000010.0,0.0,,normal
64,177000010.0,0.0,,normal
65,177000010.0,0.0,,normal
66,177000010.0,0.0,,normal
67,177000010.0,0.0,,normal
68,177000010.0,0.0,,normal
69,177000010.0,0.0,,normal
70,177000010.0,0.0,,normal
71,177000010.0,0.0,,normal
72,177000010.0,0.0,,normal
73,177000010.0,0.0,,normal
74,177000010.0,0.0,,normal
75,177000010.0,0.0,,normal
76,177000010.0,0.0,,normal
77,177000010.0,0.0,,normal
78,177000010.0,0.0,,normal
79,177000010.0,0.0,,normal
80,177000010.0,0.0,,normal
81,177000010.0,0.0,,normal
82,177000010.0,0.0,,normal
83,177000010.0,0.0,,normal
84,177000010.0,0.0,,normal
85,177000010.0,0.0,,normal
86,177000010.0,0.0,,normal
87,177000010.0,0.0,,normal
88,177000010.0,0.0,,normal
89,177000010.0,0.0,,attack
90,177000010.0,0.0,,normal
91,177000010.0,0.0,,normal
92,177000010.0,0.0,,normal
93,177000010.0,0.0,,normal
94,177000010.0,0.0,,normal
95,177000010.0,0.0,,normal
96,177000010.0,0.0,,normal
97,177000010.0,0.0,,normal
98,177000010.0,0.0,,normal
99,177000010.0,0.0,,normal
100,177000010.0,0.0,,normal
