block_num,round_num,builder_id,strategy,bid,block_value
0,0,builder_0,late_enter,163550190.0,327100380
0,0,builder_1,late_enter,176268760.0,352537520
0,0,builder_2,late_enter,143483425.0,286966850
0,0,builder_3,late_enter,158250655.0,316501310
0,0,builder_4,late_enter,177860690.0,355721380
0,0,builder_10,reactive,169187810.0,338375620
0,0,builder_11,reactive,120510820.0,241021640
0,0,builder_12,reactive,168499760.0,336999520
0,0,builder_13,reactive,181228125.0,362456250
0,0,builder_14,reactive,128089010.0,256178020
0,0,builder_15,reactive,181192705.0,362385410
0,0,builder_16,reactive,184006760.0,368013520
0,0,builder_17,reactive,173692870.0,347385740
0,0,builder_18,reactive,148980425.0,297960850
0,0,builder_19,reactive,145788875.0,291577750
0,0,builder_20,reactive,177071825.0,354143650
0,0,builder_21,reactive,167411525.0,334823050
0,0,builder_22,reactive,146521135.0,293042270
0,0,builder_23,reactive,148155375.0,296310750
0,0,builder_24,reactive,136799920.0,273599840
0,1,builder_0,late_enter,281928915.0,563857830
0,1,builder_1,late_enter,296689435.0,593378870
0,1,builder_2,late_enter,281964175.0,563928350
0,1,builder_3,late_enter,293329805.0,586659610
0,1,builder_4,late_enter,318147415.0,636294830
0,1,builder_10,reactive,202407436.0,573691070
0,1,builder_11,reactive,202407436.0,479304070
0,1,builder_12,reactive,202407436.0,600010140
0,1,builder_13,reactive,202407436.0,580104870
0,1,builder_14,reactive,202407436.0,464509870
0,1,builder_15,reactive,202407436.0,639537180
0,1,builder_16,reactive,359381315.0,534755870
0,1,builder_17,reactive,202407436.0,513259340
0,1,builder_18,reactive,202407436.0,546411340
0,1,builder_19,reactive,202407436.0,563245750
0,1,builder_20,reactive,202407436.0,557499670
0,1,builder_21,reactive,202407436.0,619362670
0,1,builder_22,reactive,202407436.0,462719270
0,1,builder_23,reactive,202407436.0,556465570
0,1,builder_24,reactive,202407436.0,534812070
0,2,builder_0,late_enter,374177065.0,748354130
0,2,builder_1,late_enter,397985435.0,795970870
0,2,builder_2,late_enter,383214800.0,766429600
0,2,builder_3,late_enter,360490765.0,720981530
0,2,builder_4,late_enter,403418565.0,806837130
0,2,builder_10,reactive,395319446.5,775654130
0,2,builder_11,reactive,395319446.5,684444500
