period,block_number,mean_gas_fee_gwei,median_gas_fee_gwei,total_gas_fees_gwei,num_transactions
STABLE_PRE_MERGE_2022,15000000,3344595.642251048,1706254.448540922,1163919283.5033646,348
STABLE_PRE_MERGE_2022,15000001,8153985.057585704,1692589.5345,1867262578.1871262,229
STABLE_PRE_MERGE_2022,15000002,3633964.7146557667,1792346.3966,501487130.62249583,138
STABLE_PRE_MERGE_2022,15000003,2710299.958740294,1761904.6671,501405492.3669544,185
STABLE_PRE_MERGE_2022,15000004,4959259.955926004,1762086.2882,887707532.1107547,179
STABLE_PRE_MERGE_2022,15000005,3781555.247939648,1848459.9566,979422809.2163689,259
STABLE_PRE_MERGE_2022,15000006,1729990.133096579,830617.968852,385787799.6805371,223
STABLE_PRE_MERGE_2022,15000007,3148822.5870703026,768236.217504,790354469.354646,251
STABLE_PRE_MERGE_2022,15000008,2230359.466646797,1653746.553263376,923368819.1917739,414
STABLE_PRE_MERGE_2022,15000009,2346872.783601063,1247865.157087984,1422204906.8622441,606
STABLE_PRE_MERGE_2022,15000010,2909720.1748286514,844161.435138,183312371.01420504,63
STABLE_PRE_MERGE_2022,15000011,6725530.065826945,947291.226022644,2831448157.713144,421
STABLE_PRE_MERGE_2022,15000012,2902278.6164527084,825935.982396,789419783.6751367,272
STABLE_PRE_MERGE_2022,15000013,2077191.2426466371,1407029.162679675,145403386.9852646,70
STABLE_PRE_MERGE_2022,15000014,3392732.581882126,1586886.811940565,488553491.7910262,144
STABLE_PRE_MERGE_2022,15000015,2912160.41133526,1196322.93347,1010519662.7333353,347
STABLE_PRE_MERGE_2022,15000016,3672377.593463629,1311621.008381631,1311038800.8665156,357
STABLE_PRE_MERGE_2022,15000017,7340672.293247636,1757528.423977897,264264202.55691493,36
STABLE_PRE_MERGE_2022,15000018,3511296.6277407394,825851.928636,828666004.1468145,236
STABLE_PRE_MERGE_2022,15000019,3439486.4567410285,1961654.7093,584712697.6459749,170
STABLE_PRE_MERGE_2022,15000020,3843629.8437989512,1954886.8808,219086901.0965402,57
STABLE_PRE_MERGE_2022,15000021,4551729.842987787,1792382.1374,1056001323.5731666,232
STABLE_PRE_MERGE_2022,15000022,2804393.1698807953,1965135.0882,238373419.43986762,85
STABLE_PRE_MERGE_2022,15000023,8573773.027161777,2851574.626891436,197196779.62472087,23
STABLE_PRE_MERGE_2022,15000024,3442828.3841086836,1926902.554041138,895135379.8682578,260
STABLE_PRE_MERGE_2022,15000025,0.0,0.0,0.0,0
STABLE_PRE_MERGE_2022,15000026,2651556.1543861465,1603348.4748,169699593.88071337,64
STABLE_PRE_MERGE_2022,15000027,5160371.188086475,1572431.0877,1635837666.6234126,317
STABLE_PRE_MERGE_2022,15000028,3107063.297008729,1307439.8689983645,782979950.8461998,252
STABLE_PRE_MERGE_2022,15000029,4748929.0641376525,2440462.16232,584118274.8889313,123
STABLE_PRE_MERGE_2022,15000030,3227142.719724403,1725052.1981,548614262.3531486,170
STABLE_PRE_MERGE_2022,15000031,2705395.7585198386,1653935.8513,581660088.0817653,215
STABLE_PRE_MERGE_2022,15000032,3618933.0902354377,1653326.7741,1349862042.6578183,373
STABLE_PRE_MERGE_2022,15000033,5423023.528798819,1901367.383419872,1117142846.9325566,206
STABLE_PRE_MERGE_2022,15000034,4429902.142553214,2676896.02127016,536018159.2489389,121
STABLE_PRE_MERGE_2022,15000035,3717268.4546311693,3467014.99305,1669053536.129395,449
STABLE_PRE_MERGE_2022,15000036,2088185.005079728,815735.536518,534575361.3004104,256
STABLE_PRE_MERGE_2022,15000037,1224867.5993768622,414489.08949,456875614.5675696,373
STABLE_PRE_MERGE_2022,15000038,1797046.8336015814,414180.631284,391756209.72514474,218
STABLE_PRE_MERGE_2022,15000039,4068030.423875718,1940357.3503,598000472.3097305,147
STABLE_PRE_MERGE_2022,15000040,2166576.306232491,938363.080220255,119161696.84278701,55
STABLE_PRE_MERGE_2022,15000041,2458623.1379653136,1365999.07838882,172103619.65757194,70
STABLE_PRE_MERGE_2022,15000042,2869149.713958714,1749155.0548206419,390204361.0983851,136
STABLE_PRE_MERGE_2022,15000043,3022603.721124542,1131544.67391,250876108.853337,83
STABLE_PRE_MERGE_2022,15000044,4332846.900328384,1425603.1854,420286149.3318532,97
STABLE_PRE_MERGE_2022,15000045,2659688.6582386335,1398997.94606015,585131504.8124994,220
STABLE_PRE_MERGE_2022,15000046,2324000.019413559,1212629.141049656,453180003.78564405,195
STABLE_PRE_MERGE_2022,15000047,3026497.2617717427,1428076.21613679,1038088560.7877077,343
STABLE_PRE_MERGE_2022,15000048,3718218.887488994,2506987.4857625403,1286503735.0711918,346
STABLE_PRE_MERGE_2022,15000049,3471249.1960545606,1777944.1405,673422344.0345848,194
STABLE_PRE_MERGE_2022,15000050,4873228.811069928,2818626.2,341126016.77489495,70
STABLE_PRE_MERGE_2022,15000051,3528978.898736466,1871066.106356883,797549231.1144414,226
STABLE_PRE_MERGE_2022,15000052,3556041.2292542695,3603901.42959,817889482.728482,230
STABLE_PRE_MERGE_2022,15000053,3776547.2918693037,2176478.8066698182,166168080.84224936,44
STABLE_PRE_MERGE_2022,15000054,9080141.668338446,2115641.1282375795,3450453833.96861,380
STABLE_PRE_MERGE_2022,15000055,3334790.8926602867,1451415.617605764,670292969.4247177,201
STABLE_PRE_MERGE_2022,15000056,4546675.783489261,2344068.0132,359187386.89565164,79
STABLE_PRE_MERGE_2022,15000057,6725978.248711413,2214313.1046567424,390106738.4252619,58
STABLE_PRE_MERGE_2022,15000058,2860181.041297838,1429334.0735131,274577379.96459246,96
STABLE_PRE_MERGE_2022,15000059,3833899.6358686695,2025035.185091445,555915447.2009571,145
STABLE_PRE_MERGE_2022,15000060,9310703.563827237,1820000.0,1443159052.3932216,155
STABLE_PRE_MERGE_2022,15000061,3520582.9275340615,1673564.3480110527,281646634.20272493,80
STABLE_PRE_MERGE_2022,15000062,5638267.289599995,1400606.8,1764777661.6447985,313
STABLE_PRE_MERGE_2022,15000063,3436181.0016666083,1523366.69569686,917460327.4449844,267
STABLE_PRE_MERGE_2022,15000064,4029721.4738198635,4469410.233,934895381.9262084,232
STABLE_PRE_MERGE_2022,15000065,5929450.222019498,2871606.219747489,2164249331.037117,365
STABLE_PRE_MERGE_2022,15000066,5941275.174863251,1984330.670650126,1711087250.3606162,288
STABLE_PRE_MERGE_2022,15000067,4915764.4608458355,4384275.55377,1941726962.034105,395
STABLE_PRE_MERGE_2022,15000068,3803637.8457006672,1447042.3775893035,205396443.66783604,54
STABLE_PRE_MERGE_2022,15000069,3333592.0097481078,1203447.6531779259,1506783588.4061446,452
STABLE_PRE_MERGE_2022,15000070,4574543.1657273155,3113456.957734475,750225079.1792798,164
STABLE_PRE_MERGE_2022,15000071,5509818.953617517,2426525.10272025,1460102022.708642,265
STABLE_PRE_MERGE_2022,15000072,9343572.152293665,4554688.86305581,579301473.4422072,62
STABLE_PRE_MERGE_2022,15000073,6080207.438900973,2962424.52059305,553298876.9399885,91
STABLE_PRE_MERGE_2022,15000074,4473234.308808439,1950000.0,585993694.4539056,131
STABLE_PRE_MERGE_2022,15000075,7952438.529257359,2430000.0,668004836.4576181,84
STABLE_PRE_MERGE_2022,15000076,3727464.9230546327,2612484.4995691874,462205650.45877445,124
STABLE_PRE_MERGE_2022,15000077,3399293.7800481184,2006238.0,350127259.3449562,103
STABLE_PRE_MERGE_2022,15000078,5397659.003730723,2265932.903004816,518175264.3581494,96
STABLE_PRE_MERGE_2022,15000079,3326152.7260810584,1604561.651075656,282722981.71689,85
STABLE_PRE_MERGE_2022,15000080,6580489.701472293,2130475.500841408,2546649514.469777,387
STABLE_PRE_MERGE_2022,15000081,5212896.848440555,4136982.90999,2528254971.493669,485
STABLE_PRE_MERGE_2022,15000082,5127532.934314376,2310645.7314911922,1774126395.272774,346
STABLE_PRE_MERGE_2022,15000083,4301405.63280675,2641657.9307,726937551.9443407,169
STABLE_PRE_MERGE_2022,15000084,5777129.666130226,2334823.01940042,1132317414.5615244,196
STABLE_PRE_MERGE_2022,15000085,4598950.343328362,4842417.218031624,114973758.58320905,25
STABLE_PRE_MERGE_2022,15000086,3935403.578368109,2080000.0,1318360198.7533166,335
STABLE_PRE_MERGE_2022,15000087,5331056.965615356,5643381.906345535,159931708.96846068,30
STABLE_PRE_MERGE_2022,15000088,4570831.55295669,2626637.663216595,639916417.4139366,140
STABLE_PRE_MERGE_2022,15000089,3749981.62503746,2171939.761372164,374998162.50374603,100
STABLE_PRE_MERGE_2022,15000090,2549939.776641744,2070000.0,232044519.67439872,91
STABLE_PRE_MERGE_2022,15000091,4123964.6264412627,4604681.011299999,874280500.8055477,212
STABLE_PRE_MERGE_2022,15000092,4260077.370258291,2388708.720172637,1537887930.663243,361
STABLE_PRE_MERGE_2022,15000093,5567715.690733689,3060623.526416568,250547206.083016,45
STABLE_PRE_MERGE_2022,15000094,4715095.239219521,2836604.5898775524,443218952.48663497,94
STABLE_PRE_MERGE_2022,15000095,4313059.1328714015,1969003.2132946625,724593934.3223954,168
STABLE_PRE_MERGE_2022,15000096,6476146.099157365,2516686.232845642,939041184.3778179,145
STABLE_PRE_MERGE_2022,15000097,6264987.624337139,2842835.337234816,444814121.3279368,71
STABLE_PRE_MERGE_2022,15000098,5112150.110644607,4915029.84075,955972070.6905415,187
STABLE_PRE_MERGE_2022,15000099,141614464.1907512,6501299.138471109,1132915713.5260096,8
STABLE_PRE_MERGE_2022,15000100,4031573.811050543,1574730.41841,540230890.6807728,134
STABLE_PRE_MERGE_2022,15000101,5661508.670686899,2701899.293790316,1879620878.6680503,332
STABLE_PRE_MERGE_2022,15000102,0.0,0.0,0.0,0
STABLE_PRE_MERGE_2022,15000103,3630150.118940641,1537803.759096178,918427980.0919822,253
STABLE_PRE_MERGE_2022,15000104,3165356.931002346,2025080.4909870643,1297796341.7109618,410
STABLE_PRE_MERGE_2022,15000105,2893346.871735303,2635782.97313991,373241746.4538541,129
STABLE_PRE_MERGE_2022,15000106,4688343.870660407,2989140.518158002,675121517.3750986,144
STABLE_PRE_MERGE_2022,15000107,2626179.2765737264,1863109.4413393592,57775944.08462198,22
STABLE_PRE_MERGE_2022,15000108,2427884.865509053,2568540.785815048,706514495.8631345,291
STABLE_PRE_MERGE_2022,15000109,1697405.7873385602,405086.422629,521103576.71293795,307
STABLE_PRE_MERGE_2022,15000110,1163020.0792695077,393729.439845,31401542.140276708,27
STABLE_PRE_MERGE_2022,15000111,4986291.325367158,2094700.62985147,2029420569.4244332,407
STABLE_PRE_MERGE_2022,15000112,2584926.5063321902,1293117.05483037,1230425017.0141225,476
STABLE_PRE_MERGE_2022,15000113,6366451.45717118,1789946.975239401,1954500597.3515525,307
